businessname,dbaname,address,city,state,zip,descript,dayphn_cleaned,latitude,longitude
American Flatbread,,76 Guest,Brighton,MA,02135,Eating & Drinking,6179034595.0,42.35702115242153,-71.14448443379635
Americano Espresso Bar,,155 Meridian,East Boston,MA,02128,Eating & Drinking w/ Take Out,6175938079.0,42.37385300019875,-71.03888500190234
America's Test Kitchen,,21 Dry Dock,Boston,MA,02210,Eating & Drinking,6172321000.0,42.344239512372,-71.03113360993106
Amorino,,249 Newbury,Boston,MA,02116,Eating & Drinking w/ Take Out,6179539682.0,42.34975499995038,-71.0827930008613
AMRHEIN'S,,80 BROADWAY,SOUTH BOSTON,MA,02127,Eating & Drinking,6172686189.0,42.34192584808595,-71.05524118602452
Analla Cafe,,117 Blue Hill,Roxbury,MA,02119,Eating & Drinking w/ Take Out,6177086171.0,42.32108000005628,-71.07776000182572
ANCHOVIES RESTAURANT,,433 COLUMBUS ,BOSTON,MA,02116,Eating & Drinking,6172665088.0,42.34404175530509,-71.07786092302679
Ancient & Honorable Artillery Company,,200 Faneuil Hall Market,Boston,MA,02109,Eating & Drinking,6172271638.0,,
Andalus Pizza & Cafe,,153 SUTHERLAND,BRIGHTON,MA,02135,Eating & Drinking w/ Take Out,6179084750.0,42.34103647268322,-71.14689846511416
ANDREW SQUARE HOUSE OF PIZZA,,395 Dorchester,South Boston,MA,02127,Eating & Drinking w/ Take Out,6172681940.0,42.33005085524678,-71.05655306520788
Angela's Cafe,,131 Lexington,East Boston,MA,02128,Eating & Drinking w/ Take Out,0.0,42.378530000104426,-71.03500000139368
Angela's Cafe II,,1012 Bennington,East Boston,MA,02128,Eating & Drinking w/ Take Out,6175695267.0,42.387115784530934,-71.00630954814206
Anna Hand Cut Donuts,,2056 Centre,West Roxbury,MA,02132,Eating & Drinking w/ Take Out,6173232680.0,42.280014269070314,-71.15819155745722
Anna's Cafe,,267 Medford,Charlestown,MA,02129,Eating & Drinking w/ Take Out,6174826050.0,42.38128999948447,-71.06154900067435
Anna's Taqueria,,242 Cambridge,Boston,MA,02114,Eating & Drinking,6172278822.0,42.36092999965096,-71.06710000035147
Anna's Taqueria,,295 Devonshire,Boston,MA,02110,Eating & Drinking,,42.353979103885834,-71.05799898164766
Anna's Taqueria,,354 Longwood,Boston,MA,02215,Eating & Drinking w/ Take Out,,42.33898734240272,-71.10769427415768
Anna's Taqueria,,359 Huntington,Boston,MA,02115,Eating & Drinking w/ Take Out,,42.34019426481486,-71.09010516241054
Anna's Taqueria,,800 Boylston,Boston,MA,02199,Eating & Drinking w/ Take Out,6172622300.0,42.34729680482496,-71.0814574594804
Annie's Bakery & Cafe,,753 Broadway,South Boston,MA,02127,Eating & Drinking,6172692186.0,42.335436185143294,-71.03522727225203
Anoush Ella,,35 Newton,Roxbury,MA,02118,Eating & Drinking,6175124819.0,42.33894037253578,-71.07394272927313
Anoush' Ella,,201 Brookline,Boston,MA,02215,Eating & Drinking w/ Take Out,6175124819.0,42.34486239691058,-71.10160474147757
A & N PIZZA,,1409 Centre,Roslindale,MA,02132,Eating & Drinking w/ Take Out,6173232211.0,42.29413000054996,-71.13674000158454
Anshur Restauruant,,291 Roxbury,Roxbury,MA,02120,Eating & Drinking w/ Take Out,6176995306.0,42.330410000030774,-71.09430000108267
ANTICO FORNO,,93 Salem,Boston,MA,02113,Eating & Drinking,6177428441.0,42.363742758108536,-71.05559101823417
Antonios Bacaro,,1 Fairmount,Hyde Park,MA,02136,Eating & Drinking,6179479407.0,42.25549087055095,-71.12123985436301
Antonio's Hi-Fi,,1508 Dorchester,Dorchester,MA,02122,Eating & Drinking w/ Take Out,6178429592.0,42.29928999965775,-71.06025000161539
ANTONIO'S ITALIANO CUCINA,,286 Cambridge,Boston,MA,02114,Eating & Drinking,6173673310.0,42.36095100010714,-71.06816000141947
Apex Bar & Lounge,,150 State,Boston,MA,02109,Eating & Drinking,,42.359400000087966,-71.05408000178902
APM Coffee,,99 Kneeland,Boston,MA,02111,Eating & Drinking,,42.34993384581058,-71.0601090151868
APPLEBEE'S NEIGHBORHOOD GRILL & BAR,,11A Allstate,Dorchester,MA,02125,Eating & Drinking,6174427139.0,42.32608733704434,-71.06361143278993
Aqua Pazza,,135 Richmond,Boston,MA,02109,Eating & Drinking,,42.363280000035026,-71.05408000173554
AQUITAINE,,569 Tremont,Roxbury,MA,02118,Eating & Drinking,6174248577.0,42.34380186573195,-71.07235093272077
Arboretum Grill,,4021 Washington,Roslindale,MA,02131,Eating & Drinking,6173239100.0,42.292010000750714,-71.12244000172439
ARCHIE'S NEW YORK DELI,,93 Arch,Boston,MA,02110,Eating & Drinking w/ Take Out,6173305145.0,42.35504237082629,-71.05912856976859
Ariana Restaurant,,123 Antwerp,Brighton,MA,02135,Eating & Drinking,6172088072.0,42.36251751776215,-71.13821623312256
Aries Club,,90 Oliver,Boston,MA,02110,Eating & Drinking,6173305250.0,42.35632625022133,-71.0518760535379
Aritzia/A-OK Cafe,,800 Boylston,Boston,MA,02199,Eating & Drinking,6042155268.0,42.34729680482496,-71.0814574594804
Arizona B B Q,,2360 Washington,Roxbury,MA,02119,Eating & Drinking w/ Take Out,6174422999.0,42.32937000050038,-71.0844600020372
ARTU,,6 Prince,Boston,MA,02113,Eating & Drinking,6177424336.0,42.3641099997678,-71.05372000078651
Arya Trattoria,,253 Hanover,Boston,MA,02109,Eating & Drinking,6177421276.0,42.36321016915622,-71.05480975847637
A Sanctuary Cafe,,80 Charles,Boston,MA,02114,Eating & Drinking,,42.358160000395046,-71.07072000132072
Ascia Foods,,100 Malcolm X,Roxbury,MA,02120,Eating & Drinking,6179593031.0,42.33090541840585,-71.09337300651339
Ashburton Cafe,,1 Ashburton,Boston,MA,02108,Eating & Drinking,6172486886.0,42.35927600004277,-71.0623590002513
ASIAN GARDEN RESTAURANT INC.,,28 HARRISON ,BOSTON,MA,02111,Eating & Drinking,6174263348.0,42.35196405510715,-71.06103068237285
