businessname,dbaname,address,city,state,zip,descript,dayphn_cleaned,latitude,longitude
Hummingbird Jamaican Cuisine,,310 Bowdoin,Dorchester,MA,02122,Eating & Drinking w/ Take Out,6175144280.0,,
Hunan Gourmet,,45 Beach,Boston,MA,02111,Eating & Drinking,,42.351268999774945,-71.06078900174502
Hunter's,,110 Dorchester,South Boston,MA,02127,Eating & Drinking,6172686429.0,42.33513903209677,-71.04595003623353
Huong Que Vietnamese Restaurant,,272 Adams,Dorchester,MA,02122,Eating & Drinking,8579397939.0,42.29988199993686,-71.05838800122247
HURRICANE O'REILLY'S,,150 Canal,Boston,MA,02114,Eating & Drinking,6177220161.0,42.36480000046733,-71.06080000072352
HYATT CONF. & HOTEL (FS),,101 Harborside,East Boston,MA,02128,Eating & Drinking,6175681234.0,42.3591986566309,-71.02719173232286
Hyatt Place Boston/Seaport District,,295 Northern,Boston,MA,02210,Eating & Drinking,8573281234.0,42.34763032963062,-71.03673194268646
Hyatt Regency Boston,,1 Avenue De Lafayette,Boston,MA,02111,Eating & Drinking,6179121234.0,42.353391411663914,-71.06073721529292
Ibasho Sushi @ B&W Hospital,,75 Francis,Boston,MA,02115,Eating & Drinking w/ Take Out,7049262200.0,42.335926815145235,-71.10674748445133
Ichiban Yakitori Sushi House,,14 Westland,Boston,MA,02115,Eating & Drinking,6172367907.0,42.34320599976995,-71.08674900087615
Icon,Paga Inc.,100 Warrenton,Boston,MA,02116,Eating & Drinking,6174820930.0,42.3507763812308,-71.06622927131706
IDEAL SUB SHOP,,522 Dudley,Roxbury,MA,02119,Eating & Drinking w/ Take Out,6174421560.0,42.322343220778585,-71.07241825879548
iFresh Noodle,iFresh Noodle,182 Brighton,Allston,MA,02134,Eating & Drinking,6177878888.0,42.35301893345762,-71.13367175721832
Ilmondo Pizzaria,,738 Huntington,Mission Hill,MA,02120,Eating & Drinking w/ Take Out,6173359833.0,42.33371189444576,-71.10536870885103
IL NIDO,,257 North,Boston,MA,02109,Eating & Drinking,6177424272.0,42.363673549382526,-71.05189868407814
Ilona,,493 Massachusetts,Roxbury,MA,02118,Eating & Drinking,6173910502.0,42.33934096358026,-71.0806546178159
Il Panino Restaurant,,7 Parmenter,Boston,MA,02113,Eating & Drinking,6177201336.0,42.363904221745216,-71.05476843108399
Imperial Kitchen,,50 Corinth,Roslindale,MA,02131,Eating & Drinking,6173272249.0,42.28593361144441,-71.1290895437656
INBOUND PIZZA & RESTAURANT,,1232 Commonwealth,Allston,MA,02134,Eating & Drinking,8579193434.0,42.34982263327599,-71.13103822305858
INCHU,,201 Brookline,Boston,MA,02215,Eating & Drinking w/ Take Out,6175124819.0,42.34486239691058,-71.10160474147757
Indian Kitchen,,7 Craftsman,Allston,MA,02134,Eating & Drinking w/ Take Out,,42.35386899980987,-71.13572000099225
India Quality,,484 Commonwealth,Boston,MA,02215,Eating & Drinking w/ Take Out,6288722.0,42.34853999994539,-71.09422000066958
In House Cafe Company,,132 Chestnut Hill,Brighton,MA,02135,Eating & Drinking,,42.34295899990876,-71.15328800134287
Insomnia Cookies,,100 Tremont,Boston,MA,02108,Eating & Drinking w/ Take Out,6174312494.0,42.35714402925085,-71.06085737603024
Insomnia Cookies,,220 Clarendon,Boston,MA,02116,Eating & Drinking w/ Take Out,,42.35121544268872,-71.0756444408417
Insomnia Cookies,,708 Commonwealth,Boston,MA,02215,Eating & Drinking w/ Take Out,2122062403.0,42.34953999993623,-71.10540000088918
Integrated Sciences Complex Cafe,,100 William T Morrissey,Dorchester,MA,02125,Eating & Drinking w/ Take Out,6172875033.0,42.31414630361416,-71.03937232722609
Intelligentsia Coffee,,225 Franklin,Boston,MA,02110,Eating & Drinking,3125217966.0,42.356135732002706,-71.0540683495597
Intercontinental Boston - Bar Fellini,,500 Atlantic,Boston,MA,02210,Eating & Drinking,6177471000.0,42.354099999751384,-71.05228000118916
Intercontinental Boston - Clipper Room,,500 Atlantic,Boston,MA,02210,Eating & Drinking,6177471000.0,42.354099999751384,-71.05228000118916
Intercontinental Boston - Matria,,500 Atlantic,Boston,MA,02210,Eating & Drinking,6177471000.0,42.354099999751384,-71.05228000118916
International House of Pancake,,1850 SOLDIERS FIELD,BRIGHTON,MA,02135,Eating & Drinking,6612948877.0,42.35863007292863,-71.1573005963026
Invi Restaurant,,761 Morton,Mattapan,MA,02126,Eating & Drinking w/ Take Out,6173223716.0,42.28341181679741,-71.08938617258012
Irashai Sushi and Teriyaki,,8 Kneeland,Boston,MA,02111,Eating & Drinking,6173506888.0,42.35103922398732,-71.06255976901404
IRIE JAMAICAN STYLE RESTAURANT,,1450 Dorchester,Dorchester,MA,02122,Eating & Drinking w/ Take Out,6179293866.0,42.30115999989916,-71.05975000117148
Irish Village Inc.,,224 Market,Brighton,MA,02135,Eating & Drinking,6177875427.0,42.35490999933274,-71.14966000122497
Isabella Restaurant,,2 Prince,Boston,MA,02113,Eating & Drinking,,42.3640300000859,-71.0536300017273
Island Creek Oyster Bar #1,,99 Autumn,Boston,MA,02210,Eating & Drinking,7819342028.0,42.35074840574919,-71.04588713161903
Island Creek Oyster Bar #2,,99 Autumn,Boston,MA,02210,Eating & Drinking,7819342028.0,42.35074840574919,-71.04588713161903
Island Cuisine Restaurant and Bakery,,554 Dudley,Dorchester,MA,02125,Eating & Drinking,6177080013.0,42.32129765477059,-71.07204058168567
ISLAND STYLE INC.,,183 Washington,Dorchester,MA,02121,Eating & Drinking w/ Take Out,6173615485.0,42.30334992270578,-71.07876065989066
Isshindou Ramen,,1 Brighton,Allston,MA,02134,Eating & Drinking w/ Take Out,,42.352411055760506,-71.12532952455528
Istanbul Doner Burrito,,350 Longwood,Boston,MA,02115,Eating & Drinking w/ Take Out,6175056265.0,42.33817999970623,-71.10648000164196
Italian Pizza & Sub Express,,162 South,Jamaica Plain,MA,02130,Eating & Drinking w/ Take Out,6173905301.0,42.30410168045075,-71.11445201364675
Jacques,,77 Broadway,Boston,MA,02215,Eating & Drinking,5364053.0,42.34995771659508,-71.06744089366849
Jade Garden Restaurant,LCY  Inc.,20 Tyler,Boston,MA,02111,Eating & Drinking,6174233288.0,42.35069000007065,-71.06057000050971
Jadu,,767 Centre,Jamaica Plain,MA,02130,Eating & Drinking,6174773289.0,42.310187839479255,-71.11537478339142
Jaho Coffee Roaster & Wine Bar,,116 Huntington,Boston,MA,02116,Eating & Drinking,6172852312.0,42.34651000028041,-71.07976000115998
Jaho Coffee Roaster & Wine Bar,,659 Washington,Boston,MA,02116,Eating & Drinking w/ Take Out,9782238982.0,42.351742460783846,-71.0630532474751
Jaho Coffee & Tea,,1651 Washington,Roxbury,MA,02118,Eating & Drinking w/ Take Out,6172361680.0,42.33789999968506,-71.07541000149061
Jamaica Mi Hungry,,289 Devonshire,Boston,MA,02110,Eating & Drinking w/ Take Out,6172598017.0,42.3541600005275,-71.05794000171485
Jamaica Plain House of Pizza,,775 Centre,Jamaica Plain,MA,02130,Eating & Drinking w/ Take Out,6175224154.0,42.309996304804834,-71.11551762168982
Jamaica's Best Restaurant ,,1614 Blue Hill,Mattapan,MA,02126,Eating & Drinking,6176903892.0,42.268881358357056,-71.09335106232398
Java House,,541 Broadway,South Boston,MA,02127,Eating & Drinking w/ Take Out,6174644858.0,42.33530208730255,-71.04227258332388
Jays Kitchen - K110,,94 Shirley,Roxbury,MA,02119,Eating & Drinking w/ Take Out,9178214447.0,42.32448468232285,-71.07021644447491
JEANIE JOHNSTON PUB,,144 South,Jamaica Plain,MA,02130,Eating & Drinking,6179839432.0,42.30506680099578,-71.1144491058991
Jen Lai Noodle and Rice Co.,,1 FANEUIL HALL MKT PL,BOSTON,MA,02109,Eating & Drinking w/ Take Out,9087568888.0,42.36002999999229,-71.0562400012183
JENNY'S PIZZA,,320 Medford,Charlestown,MA,02129,Eating & Drinking w/ Take Out,7813331199.0,42.38126000046043,-71.06301000140816
Jersey Mikes,,64 Staniford,Boston,MA,02114,Eating & Drinking w/ Take Out,7036270048.0,42.36303464684379,-71.06410351319063
Jersey Mikes Subs,,462 Washington,Brighton,MA,02135,Eating & Drinking w/ Take Out,9086423594.0,42.34873500021143,-71.15899200120337
Jiang Nan,,177 Tremont,Boston,MA,02111,Eating & Drinking,8572770668.0,42.352999999796815,-71.06405000152559
Jibei Chuan,,50 Beach,Boston,MA,02111,Eating & Drinking,6178885366.0,42.35153999995091,-71.06073000146765
Jimmy Buffett's Margaritaville,,300 Faneuil Hall Marketplace,Boston,MA,02109,Eating & Drinking,,42.3605358160807,-71.05485795412649
JIMMY JOHN'S,,100 Terminal,East Boston,MA,02128,Eating & Drinking w/ Take Out,,42.364539860564015,-71.02181743285618
JIMMY JOHN'S,,411 D,Boston,MA,02210,Eating & Drinking w/ Take Out,8572653289.0,42.34448273894785,-71.04388091223142
Jim Roche Ice Arena,,1275 VFW,West Roxbury,MA,02132,Eating & Drinking,6173239512.0,42.276099999839786,-71.17305000129284
Jim's Restaurant and Deli,,371 Washington,Brighton,MA,02135,Eating & Drinking w/ Take Out,6177872626.0,42.3493179139294,-71.15405120583353
Jiro's Sushi,,32 Kneeland,Boston,MA,02111,Eating & Drinking w/ Take Out,,42.35085022255524,-71.06183724236563
J. J. DONOVAN INC.,,200 FANEUIL HALL MARKET,BOSTON,MA,02109,Eating & Drinking,6175239522.0,42.360199815765334,-71.05479820409751
J J Foley's Cafe,,117 EAST BERKELEY,BOSTON,MA,02118,Eating & Drinking,6177280315.0,42.34383159379653,-71.06564064203337
J J FOLEY'S GRILL INC.,,19 KINGSTON,BOSTON,MA,02111,Eating & Drinking,6174828075.0,,
J & J IRISH PUB & GRILLE,,1130 Dorchester,Dorchester,MA,02125,Eating & Drinking,6172825919.0,42.312214660820985,-71.05719130691128
JJ Nugs Mac & Cheese-Lower Level,,32 Cambridge,Charlestown,MA,02129,Eating & Drinking w/ Take Out,5088431673.0,42.383569999309664,-71.0743500017016
J M Curley/Bogie's Place/Wig Shop Lounge,,21 Temple,Boston,MA,02111,Eating & Drinking,6175122550.0,42.35520000074872,-71.0623900008417
JOE'S AMERICAN BAR & GRILL,,100 Atlantic,Boston,MA,02110,Eating & Drinking,6175364200.0,42.361967425571734,-71.05067122928065
JOE'S AMERICAN BAR & GRILL,,26 Exeter,Boston,MA,02116,Eating & Drinking,,42.35059853326145,-71.07982078385476
Joe's Famous Subs & Pizza,,140 Dudley,Roxbury,MA,02119,Eating & Drinking w/ Take Out,9057720000.0,42.32903499987993,-71.08372000143603
JOEY'S FUN FOODS,,100-199 Faneuil Hall Market,Boston,MA,02109,Eating & Drinking w/ Take Out,6172610065.0,,
JOHN B. HYNES VET. MEM. CTR.,,880 Boylston,Boston,MA,02199,Eating & Drinking,6179542100.0,42.34753000060781,-71.08411000220546
Johnnies On The Side,,138 Portland,Boston,MA,02114,Eating & Drinking,6172271588.0,,
Johnny Burke Catering & Events,,168 Spring,West Roxbury,MA,02132,Eating & Drinking w/ Take Out,7742700448.0,42.27577999991106,-71.16685000151308
Johnny Pomodoro,,297 Main,Charlestown,MA,02129,Eating & Drinking w/ Take Out,7742700448.0,42.377800000165585,-71.06706000117386
JOHNNY'S PIZZA & SUBS,,1917 Dorchester,Dorchester,MA,02124,Eating & Drinking w/ Take Out,6172656660.0,42.285213479751015,-71.06463831622511
JOIA Ristorante & Lounge,,189 State,Boston,MA,02109,Eating & Drinking,8572770782.0,42.35922999987799,-71.05272000075792
Jones Day 21st Floor,,100 High,Boston,MA,02110,Eating & Drinking,6179603939.0,42.354465446258,-71.05529865229609
Joseph's Pizza & Sub Shop,,1200 Blue Hill,Mattapan,MA,02126,Eating & Drinking w/ Take Out,6172980065.0,42.28344577733234,-71.09139870300409
Joseph's Pizzeria,,8 Huntington,Mission Hill,MA,02130,Eating & Drinking,6177319880.0,42.331748407477015,-71.11176208475916
J. Pace & Son Uptown,,225 Northern,Boston,MA,02210,Eating & Drinking w/ Take Out,7812319599.0,42.34853737168443,-71.0387329923863
J-Pizzle Kitchen,,536 Centre,Jamaica Plain,MA,02130,Eating & Drinking,6175247575.0,42.316860000073646,-71.11327000185834
J.P. LICKS,,173 Newbury,Boston,MA,02116,Eating & Drinking w/ Take Out,6175242020.0,42.35071999982103,-71.07921000117265
J.P. LICKS AT W.R.  INC.,,661 V F W ,WEST ROXBURY,MA,02467,Eating & Drinking w/ Take Out,6175242020.0,,
J.P. Licks @ Boylston St.,,1106 Boylston,Boston,MA,02115,Eating & Drinking w/ Take Out,6175242020.0,42.346828000144384,-71.0885700008115
J.P. Licks @ Charles Street,,144 Charles,Boston,MA,02114,Eating & Drinking w/ Take Out,6175242020.0,42.359980000680245,-71.07100000113046
J.P. LICKS INC.,,659 Centre,Jamaica Plain,MA,02130,Eating & Drinking w/ Take Out,6175242020.0,42.31286484367275,-71.11442408152661
J.P. Licks @ Southbay,,20 District,Dorchester,MA,02125,Eating & Drinking w/ Take Out,6175240699.0,42.32531436705742,-71.06273101728776
J.P. Licks @ West Broadway,,397 Broadway,South Boston,MA,02127,Eating & Drinking w/ Take Out,6175242020.0,42.33709175192382,-71.04848192962615
J. P. Roti Shop,,482 Washington,Dorchester,MA,02124,Eating & Drinking w/ Take Out,6178254860.0,42.29469262536352,-71.07167958614922
J. P. SEAFOOD CAFE INC.,,730 Centre,Jamaica Plain,MA,02130,Eating & Drinking,6175226092.0,42.31080202763933,-71.11445854378093
Jugos,,502 Massachusetts,Roxbury,MA,02118,Eating & Drinking,6175369700.0,42.33927482172894,-71.07998993690917
Jugos Juice Boston @ MBTA,,145 Dartmouth,Boston,MA,02116,Eating & Drinking w/ Take Out,9175337788.0,42.3472779181476,-71.07545140055491
Juicy Greens,,125 Summer,Boston,MA,02111,Eating & Drinking w/ Take Out,6178335676.0,42.35312315905097,-71.05742297932142
Juicy Greens,,61 South,Jamaica Plain,MA,02130,Eating & Drinking,8572889776.0,42.307690000075745,-71.11576000135584
JuicyGreens at the Hub- K14,,80 Causeway,Boston,MA,02114,Eating & Drinking w/ Take Out,6178335676.0,42.36553349531547,-71.06185622592876
Jules on Devonshire,,54 Devonshire,Boston,MA,02109,Eating & Drinking,6177201234.0,42.35834130533922,-71.05710698688702
Jumbo Seafood,,5 Hudson,Boston,MA,02111,Eating & Drinking,6175422823.0,42.35097290433989,-71.0601689978224
Jump On In,,100 Holton,Brighton,MA,02135,Eating & Drinking,6177895867.0,42.36021804203562,-71.13853514949616
Just Salad,,185 Franklin,Boston,MA,02110,Eating & Drinking w/ Take Out,,42.35539999922405,-71.0548200009276
Just Salad,,372 Congress,Boston,MA,02210,Eating & Drinking w/ Take Out,3142773575.0,42.35013183567024,-71.04778440308561
Just Thai,,1512 Dorchester,Dorchester,MA,02122,Eating & Drinking,6172886388.0,42.299120000094945,-71.06032000170316
Kahaani on Broadway,,22 Broadway,South Boston,MA,02127,Eating & Drinking,6177524206.0,42.342819328017995,-71.05657266267934
Kaia,,370 Harrison,Roxbury,MA,02118,Eating & Drinking,,42.34398357827159,-71.06378452034063
Kaju Tofu House,,56 Harvard,Allston,MA,02134,Eating & Drinking,6172088540.0,42.35432672235194,-71.13222174330699
Kala Thai Cookery,,120 Blackstone,Boston,MA,02108,Eating & Drinking,,42.361782253774166,-71.0567638924323
KALIHARI GRILL,,1 Circuit,Roxbury,MA,02119,Eating & Drinking w/ Take Out,6179892007.0,42.32318000032231,-71.0864500013628
Kane's Donuts,,1 International,Boston,MA,02110,Eating & Drinking w/ Take Out,8573172654.0,,
Kaori Cafe,,299 Meridian,East Boston,MA,02128,Eating & Drinking w/ Take Out,6179910462.0,42.37705000071673,-71.03897000037045
Kapow Thai Cuisine,,2255 Dorchester,Dorchester,MA,02124,Eating & Drinking w/ Take Out,6172967505.0,42.27339000006622,-71.06795000133165
Kartal,,520 Tremont,Roxbury,MA,02118,Eating & Drinking,6172016996.0,42.34463999963695,-71.06991000155571
Kava Neo Taverna,,315 Shawmut,Roxbury,MA,02118,Eating & Drinking,6172013066.0,42.34234070580471,-71.07052981791773
Kaze Shabu Shabu,,41 Essex,Boston,MA,02111,Eating & Drinking,6173388783.0,42.35235000063618,-71.06158000030446
Kchickin,,84 Peterborough,Boston,MA,02215,Eating & Drinking,6175301181.0,42.343077111885144,-71.09911010660659
KELLEY'S SQ. PUB,,84 Bennington,East Boston,MA,02128,Eating & Drinking w/ Take Out,6175674627.0,42.37623181731599,-71.03562911421378
Kelly's Roast Beef @BOS,,200 Terminal,East Boston,MA,02128,Eating & Drinking w/ Take Out,6176346097.0,42.36267734543621,-71.01863498065062
Kelly's Roastbeef (Pier A),,200 Terminal,East Boston,MA,02128,Eating & Drinking w/ Take Out,6176346097.0,42.36267734543621,-71.01863498065062
Kentucky Fried Chicken,,465 Washington,Dorchester,MA,02124,Eating & Drinking w/ Take Out,7819820755.0,42.29509383308211,-71.07233982228642
Kentucky Fried Chicken,,625 American Legion,Roslindale,MA,02131,Eating & Drinking w/ Take Out,7819820755.0,42.285590000139095,-71.11089000075386
Kentucky Fried Chicken,,695 Columbia,Dorchester,MA,02125,Eating & Drinking w/ Take Out,7819820755.0,42.319970732523856,-71.061799804693
Kenzoku Mazesoba,,506 Park,Boston,MA,02215,Eating & Drinking,,42.347669220747,-71.10594799512468
KFC,,30 Beacon,Allston,MA,02134,Eating & Drinking w/ Take Out,7819820755.0,42.35358999977531,-71.13892000111287
KHAU GALLI,,38 Brooks,Brighton,MA,02135,Eating & Drinking w/ Take Out,5105161956.0,42.356120022233526,-71.16220157338849
Kicco Italian Coffee,,1 Nashua,Boston,MA,02114,Eating & Drinking w/ Take Out,8573179040.0,42.36593808263721,-71.06329249059569
Kimchipapi Kitchen,,81 Harvard,Allston,MA,02134,Eating & Drinking w/ Take Out,6178889368.0,42.35356999989448,-71.13240000076226
King Do,,1154 Dorchester,Dorchester,MA,02125,Eating & Drinking,6174365464.0,42.31122678657734,-71.05739263015285
Kings Bowl Seaport,,60 Seaport,Boston,MA,02210,Eating & Drinking,8555222695.0,42.35284399364106,-71.04709889448148
KING'S/THE 88 CLUB,,50 Dalton,Boston,MA,02115,Eating & Drinking,6172622605.0,42.34706500048197,-71.08564300079891
Kis O Yogurt,,44 Beacon,Allston,MA,02134,Eating & Drinking w/ Take Out,7814202737.0,42.35363708367788,-71.13975841844794
Klin Thai West Roxbury,,1894 Centre,West Roxbury,MA,02132,Eating & Drinking w/ Take Out,6174773348.0,42.28538572919432,-71.15584171485347
Kneeland Cafe,,75 Kneeland,Boston,MA,02111,Eating & Drinking,6179363953.0,42.3501787870017,-71.06061023584307
Knoll Street Tavern,,1410 Centre,Roslindale,MA,02131,Eating & Drinking,6173251222.0,42.293940000293006,-71.13618000127202
Kohi Coffee Company,,40 Berkeley,Boston,MA,02116,Eating & Drinking w/ Take Out,6173785738.0,42.34594000010057,-71.07090000110264
Kohi Coffee Company,,70 Guest,Brighton,MA,02135,Eating & Drinking,,42.357125072179606,-71.14414113528176
Koko Coffee,,226 Causeway,Boston,MA,02114,Eating & Drinking,8573053456.0,42.366639999731554,-71.05943000115549
Koko Coffee,,255 State,Boston,MA,02110,Eating & Drinking w/ Take Out,8572212308.0,42.35938091073582,-71.05114624072525
Koko Coffee,,745 Atlantic,Boston,MA,02111,Eating & Drinking w/ Take Out,8572300444.0,42.35031000011261,-71.05710000177895
Koko Coffee,,87 L,South Boston,MA,02127,Eating & Drinking w/ Take Out,8572212308.0,42.33430149364301,-71.03550036750278
Kongdog,,200 Faneuil Hall Marketplace,Boston,MA,02109,Eating & Drinking w/ Take Out,7813668653.0,42.36019981607993,-71.05479820374326
Korean Garden Restaurant,,122 Harvard,Allston,MA,02134,Eating & Drinking,6175628989.0,42.35243167095337,-71.13171112318642
Korokoro Ramen and Sushi,,329 Sumner,East Boston,MA,02128,Eating & Drinking w/ Take Out,6178407417.0,42.36710706406126,-71.03607027468142
Kozy Kitchen,,728 Commonwealth,Boston,MA,02215,Eating & Drinking,6465250443.0,42.34962000054308,-71.10644000125224
Krasi,,48 Gloucester,Boston,MA,02115,Eating & Drinking,6179704054.0,42.348681000431625,-71.08410200071428
Kuizinn Lakay Plus,,1672 Blue Hill,Mattapan,MA,02126,Eating & Drinking,8572058742.0,42.26762399939839,-71.09325700203321
Kung Fu Tea,,1916B Beacon,Brighton,MA,02135,Eating & Drinking w/ Take Out,6462209991.0,42.336591000246315,-71.14887600175757
Kung Fu Tea @ Mass. Ave.,,334 Massachusetts,Boston,MA,02115,Eating & Drinking w/ Take Out,,42.342610373743526,-71.08416984132879
Kura Revolving Sushi Bar,,39 District,Dorchester,MA,02125,Eating & Drinking,,42.32586512589624,-71.06244368432797
Kured,,81 Charles,Boston,MA,02114,Eating & Drinking w/ Take Out,8572847169.0,42.35845330826404,-71.07046529704412
Kutzu,,100 High,Boston,MA,02110,Eating & Drinking w/ Take Out,,42.354465446258,-71.05529865229609
Kwench Juice Cafe,,1587 Blue Hill,Mattapan,MA,02126,Eating & Drinking w/ Take Out,7749767094.0,42.26956000003132,-71.09404000202832
Kwench Juice Cafe,,230 Congress,Boston,MA,02110,Eating & Drinking w/ Take Out,6177853489.0,42.35449000012255,-71.05422000103133
Kwench Juice Cafe,,401 Washington,Brighton,MA,02135,Eating & Drinking w/ Take Out,,42.34930046891137,-71.1552742358399
Kwench Juice Cafe,,643 VFW,Chestnut Hill,MA,02467,Eating & Drinking w/ Take Out,6172127949.0,42.29646525486872,-71.15666531224726
Kyoichi,,665A Tremont,Roxbury,MA,02118,Eating & Drinking w/ Take Out,8572363473.0,42.34194999996279,-71.07587000092104
La Abundancia Bakery  Corporation,,59 Meridian,East Boston,MA,02128,Eating & Drinking w/ Take Out,8575408209.0,42.37173900034121,-71.03877200131161
La Be Fana Pizzeria,,15 Beacon,Allston,MA,02134,Eating & Drinking w/ Take Out,6179870086.0,42.354249999581754,-71.13765000156977
L.A. Burdick Chocolate,,224 Clarendon,Boston,MA,02116,Eating & Drinking w/ Take Out,6037563701.0,42.35125097310605,-71.07566212219865
La Cabra Restaurant,,1294 Blue Hill,Mattapan,MA,02126,Eating & Drinking,6173229011.0,42.27934999991406,-71.09275000191992
LA CHIVA RESTAURANT,,259 Bennington,East Boston,MA,02128,Eating & Drinking w/ Take Out,6175696200.0,42.37825000012006,-71.02954000131848
LaCocina Local,HSI MCA BOS FB  LLC,300 Terminal,East Boston,MA,02128,Eating & Drinking w/ Take Out,6176346097.0,42.3666199526667,-71.016589349149
La Cocina VROCC,,389 Maverick,East Boston,MA,02128,Eating & Drinking w/ Take Out,7815585102.0,42.365699999945136,-71.02905000185709
La Cuchara Restaurant,,381 Blue Hill,Dorchester,MA,02121,Eating & Drinking w/ Take Out,6174457500.0,42.31173000011443,-71.0811100015354
La Esquina Restaurant,,624 Blue Hill,Dorchester,MA,02121,Eating & Drinking w/ Take Out,6178220200.0,42.30287875233368,-71.08501854612992
LA FAMIGLIA RISTORANTE,,112 Salem,Boston,MA,02113,Eating & Drinking,7812843908.0,42.36454999973423,-71.05571000122214
La Fonda Boston,,1620 Commonwealth,Brighton,MA,02135,Eating & Drinking w/ Take Out,,42.343423999574085,-71.14260000180242
La Fonda Colombiana,,972 Saratoga,East Boston,MA,02128,Eating & Drinking,6175610101.0,42.38709151691337,-71.00758007938937
La Gran Manzana,,22 William C Kelly,East Boston,MA,02128,Eating & Drinking,,42.37517700012285,-71.03860000126986
La Hacienda,,150 Meridian,East Boston,MA,02128,Eating & Drinking,6175613737.0,42.3740100001616,-71.03927000177596
Lakon Brighton,,407 Washington,Brighton,MA,02135,Eating & Drinking,6179091903.0,42.34940300066356,-71.1553090007287
Lakon Paris Patissier,,43-61 Pier 4,Boston,MA,02210,Eating & Drinking w/ Take Out,,42.35006670298421,-71.04499889871157
Lala's Neapolitan-ish Pizza,,401 Park,Boston,MA,02215,Eating & Drinking w/ Take Out,7038871401.0,42.344449188410294,-71.10287028370084
La Lechonera Restaurant,,342 Cummins,Roslindale,MA,02131,Eating & Drinking w/ Take Out,6173230311.0,42.27880000024699,-71.11601000156894
La Mamma Pizza And More,,190 Brighton,Allston,MA,02134,Eating & Drinking w/ Take Out,6177831661.0,42.35299342879339,-71.1337982620439
La Marina Restaurant,,124 Harvard,Dorchester,MA,02124,Eating & Drinking w/ Take Out,8573392145.0,42.29642999983004,-71.07965000081018
La Mesa Market,,744 Dudley,Dorchester,MA,02125,Eating & Drinking w/ Take Out,6177174320.0,42.31797000000738,-71.06662000127588
Landmark Public House,,772 Adams,Dorchester,MA,02122,Eating & Drinking,6173083186.0,42.28341976952424,-71.05551860619853
Land of Fire Pizzeria,,1696 Commonwealth,Brighton,MA,02135,Eating & Drinking w/ Take Out,,42.341227487439454,-71.14654970326643
Land of Pizza,,445 Broadway,South Boston,MA,02127,Eating & Drinking w/ Take Out,6172694442.0,42.33604916906648,-71.04687600954558
La Neta,,255 Newbury,Boston,MA,02116,Eating & Drinking,6179380355.0,42.34968000066771,-71.08305000093483
Lani's Pizza,,1288 Blue Hill,Mattapan,MA,02126,Eating & Drinking w/ Take Out,6175866883.0,42.27978199984301,-71.09262000064517
Lanner Noodle Bar,,43-61 Pier 4,Boston,MA,02210,Eating & Drinking,5854516393.0,42.35006670298421,-71.04499889871157
La Padrona,,40 Trinity,Boston,MA,02116,Eating & Drinking,,42.34840397218441,-71.07503502538228
La Padrona - 1st Fl. Bar,,40 Trinity,Boston,MA,02116,Eating & Drinking,,42.34840397218441,-71.07503502538228
La Parada Dominican Kitchen,,3094 Washington,Roxbury,MA,02119,Eating & Drinking w/ Take Out,6179427599.0,42.31511219546888,-71.09863987869507
La Pheegan Chef,,196 Quincy,Dorchester,MA,02125,Eating & Drinking w/ Take Out,,42.31306866790966,-71.07391936327326
La Pinata,,199 Sumner,East Boston,MA,02128,Eating & Drinking,8572077034.0,42.36898000040109,-71.04036000154717
LA REINA,,80 Bennington,East Boston,MA,02128,Eating & Drinking w/ Take Out,3811799.0,42.37608000014698,-71.03610000109322
LARRY J'S BBQ CAFE,,600 D,South Boston,MA,02210,Eating & Drinking w/ Take Out,,,
La Saison Bakery,,219 Main,Charlestown,MA,02129,Eating & Drinking w/ Take Out,3107093997.0,42.37654000042955,-71.06542100109569
LAS PALMAS RESTAURANT,,4337A Washington,Roslindale,MA,02131,Eating & Drinking,6173233339.0,42.28332000027448,-71.13172000127693
LA SULTANA BAKERY,,40 MAVERICK,EAST BOSTON,MA,02128,Eating & Drinking w/ Take Out,6175689999.0,42.370099458172525,-71.03920821155282
LA SUMMA,,26 Fleet,Boston,MA,02113,Eating & Drinking,6175292565.0,42.36458999968669,-71.0525400008487
Las Vegas Seafood Restaurant,,1200 River,Hyde Park,MA,02136,Eating & Drinking,6173642772.0,42.25584000006592,-71.12176000136904
La Taqueria,,1132 Blue Hill,Dorchester,MA,02124,Eating & Drinking,6174360000.0,42.285528859300264,-71.09070896069028
La Taqueria Taco Bar & Grill,,632 Hyde Park,Roslindale,MA,02131,Eating & Drinking w/ Take Out,6179428117.0,42.27878868341524,-71.11896126597358
LA TERRAZA RESTAURANT,,19 Bennington,East Boston,MA,02128,Eating & Drinking,6175615200.0,42.375102999970906,-71.03799300091615
LATINO RESTAURANT,,302 Centre,Jamaica Plain,MA,02130,Eating & Drinking,6172654464.0,42.32273000006873,-71.10325000159338
Laugh Boston,,425 Summer,Boston,MA,02210,Eating & Drinking,6172631300.0,42.346219438145646,-71.04309939100366
Laughing Monk Cafe,,164 Brighton,Allston,MA,02134,Eating & Drinking,6172328000.0,42.35291999950836,-71.13306000178
Laughing Monk Cafe,,737 Huntington,Boston,MA,02115,Eating & Drinking,6172328000.0,42.33406917795849,-71.10552921442057
Lavietes Pavillion,,65 Harvard,Allston,MA,02163,Eating & Drinking w/ Take Out,6174920030.0,42.36750373294184,-71.12593098142989
